,date,passport,Immigration,Travel Visa,Refugee,Conflict,Economy,country
0,2008-01-01,0.0,31.0,19.0,0.0,0.0,43.0,AF
1,2008-02-01,3.0,21.0,12.0,24.0,0.0,32.0,AF
2,2008-03-01,4.0,55.0,20.0,100.0,0.0,0.0,AF
3,2008-04-01,5.0,0.0,29.0,28.0,0.0,52.0,AF
4,2008-05-01,0.0,39.0,10.0,63.0,0.0,44.0,AF
5,2008-06-01,0.0,15.0,31.0,44.0,0.0,68.0,AF
6,2008-07-01,4.0,0.0,0.0,19.0,0.0,81.0,AF
7,2008-08-01,0.0,32.0,27.0,0.0,0.0,25.0,AF
8,2008-09-01,2.0,27.0,20.0,0.0,100.0,64.0,AF
9,2008-10-01,2.0,15.0,0.0,0.0,41.0,29.0,AF
10,2008-11-01,0.0,18.0,16.0,0.0,0.0,96.0,AF
11,2008-12-01,0.0,24.0,0.0,40.0,0.0,0.0,AF
12,2009-01-01,3.0,0.0,27.0,0.0,0.0,77.0,AF
13,2009-02-01,4.0,14.0,18.0,26.0,0.0,0.0,AF
14,2009-03-01,0.0,0.0,15.0,0.0,0.0,54.0,AF
15,2009-04-01,0.0,22.0,0.0,16.0,0.0,65.0,AF
16,2009-05-01,4.0,32.0,11.0,0.0,21.0,64.0,AF
17,2009-06-01,0.0,44.0,0.0,0.0,0.0,73.0,AF
18,2009-07-01,0.0,25.0,6.0,0.0,30.0,38.0,AF
19,2009-08-01,6.0,0.0,12.0,0.0,31.0,0.0,AF
20,2009-09-01,3.0,22.0,24.0,0.0,0.0,44.0,AF
21,2009-10-01,0.0,0.0,25.0,18.0,26.0,43.0,AF
22,2009-11-01,0.0,10.0,27.0,14.0,0.0,56.0,AF
23,2009-12-01,2.0,0.0,14.0,0.0,0.0,20.0,AF
24,2010-01-01,0.0,0.0,5.0,11.0,0.0,48.0,AF
25,2010-02-01,2.0,0.0,12.0,0.0,26.0,0.0,AF
26,2010-03-01,0.0,21.0,16.0,14.0,0.0,0.0,AF
27,2010-04-01,8.0,19.0,13.0,0.0,0.0,88.0,AF
28,2010-05-01,0.0,0.0,16.0,12.0,47.0,47.0,AF
29,2010-06-01,6.0,0.0,14.0,0.0,0.0,50.0,AF
30,2010-07-01,2.0,19.0,19.0,15.0,0.0,36.0,AF
31,2010-08-01,0.0,12.0,15.0,0.0,24.0,0.0,AF
32,2010-09-01,3.0,0.0,12.0,0.0,0.0,0.0,AF
33,2010-10-01,3.0,0.0,15.0,19.0,0.0,98.0,AF
34,2010-11-01,2.0,0.0,18.0,32.0,41.0,32.0,AF
35,2010-12-01,0.0,30.0,14.0,0.0,0.0,0.0,AF
36,2011-01-01,4.0,0.0,22.0,0.0,0.0,45.0,AF
37,2011-02-01,0.0,17.0,15.0,0.0,22.0,16.0,AF
38,2011-03-01,1.0,16.0,14.0,0.0,0.0,48.0,AF
39,2011-04-01,2.0,0.0,14.0,0.0,33.0,80.0,AF
40,2011-05-01,1.0,0.0,16.0,0.0,0.0,88.0,AF
41,2011-06-01,0.0,10.0,19.0,0.0,0.0,72.0,AF
42,2011-07-01,2.0,19.0,14.0,15.0,15.0,47.0,AF
43,2011-08-01,1.0,20.0,18.0,7.0,0.0,31.0,AF
44,2011-09-01,0.0,25.0,20.0,0.0,15.0,57.0,AF
45,2011-10-01,1.0,16.0,12.0,16.0,0.0,88.0,AF
46,2011-11-01,1.0,17.0,7.0,8.0,18.0,40.0,AF
47,2011-12-01,0.0,10.0,13.0,5.0,0.0,50.0,AF
48,2012-01-01,2.0,10.0,11.0,8.0,34.0,44.0,AF
49,2012-02-01,1.0,6.0,9.0,0.0,0.0,14.0,AF
50,2012-03-01,2.0,4.0,11.0,2.0,0.0,39.0,AF
51,2012-04-01,1.0,4.0,8.0,4.0,10.0,68.0,AF
52,2012-05-01,1.0,14.0,11.0,0.0,0.0,64.0,AF
53,2012-06-01,1.0,10.0,12.0,5.0,0.0,61.0,AF
54,2012-07-01,1.0,19.0,23.0,15.0,0.0,59.0,AF
55,2012-08-01,1.0,17.0,13.0,6.0,0.0,28.0,AF
56,2012-09-01,0.0,23.0,15.0,7.0,0.0,53.0,AF
57,2012-10-01,1.0,19.0,17.0,11.0,6.0,43.0,AF
58,2012-11-01,1.0,17.0,15.0,0.0,7.0,52.0,AF
59,2012-12-01,1.0,10.0,14.0,6.0,6.0,44.0,AF
60,2013-01-01,1.0,15.0,15.0,2.0,19.0,35.0,AF
61,2013-02-01,1.0,14.0,13.0,0.0,0.0,39.0,AF
62,2013-03-01,2.0,12.0,12.0,0.0,6.0,41.0,AF
63,2013-04-01,1.0,8.0,12.0,4.0,6.0,69.0,AF
64,2013-05-01,1.0,17.0,13.0,7.0,6.0,84.0,AF
65,2013-06-01,1.0,12.0,15.0,9.0,6.0,59.0,AF
66,2013-07-01,1.0,18.0,20.0,10.0,0.0,41.0,AF
67,2013-08-01,1.0,13.0,11.0,1.0,2.0,34.0,AF
68,2013-09-01,1.0,15.0,17.0,6.0,6.0,53.0,AF
69,2013-10-01,1.0,12.0,18.0,7.0,4.0,48.0,AF
70,2013-11-01,1.0,11.0,16.0,9.0,5.0,57.0,AF
71,2013-12-01,1.0,15.0,16.0,5.0,5.0,41.0,AF
72,2014-01-01,1.0,7.0,18.0,1.0,0.0,39.0,AF
73,2014-02-01,1.0,3.0,15.0,8.0,7.0,44.0,AF
74,2014-03-01,2.0,11.0,15.0,3.0,4.0,32.0,AF
75,2014-04-01,1.0,9.0,13.0,4.0,7.0,53.0,AF
76,2014-05-01,1.0,10.0,17.0,7.0,9.0,78.0,AF
77,2014-06-01,1.0,10.0,15.0,5.0,9.0,59.0,AF
78,2014-07-01,1.0,11.0,18.0,5.0,6.0,35.0,AF
79,2014-08-01,1.0,11.0,17.0,3.0,3.0,35.0,AF
80,2014-09-01,2.0,12.0,19.0,5.0,4.0,64.0,AF
81,2014-10-01,1.0,12.0,21.0,6.0,2.0,56.0,AF
82,2014-11-01,1.0,11.0,16.0,5.0,9.0,65.0,AF
83,2014-12-01,1.0,9.0,16.0,7.0,5.0,43.0,AF
84,2015-01-01,1.0,9.0,15.0,4.0,8.0,46.0,AF
85,2015-02-01,1.0,9.0,16.0,6.0,0.0,47.0,AF
86,2015-03-01,1.0,9.0,13.0,2.0,0.0,47.0,AF
87,2015-04-01,1.0,7.0,18.0,4.0,4.0,80.0,AF
88,2015-05-01,2.0,8.0,20.0,7.0,5.0,100.0,AF
89,2015-06-01,1.0,12.0,20.0,7.0,16.0,77.0,AF
90,2015-07-01,1.0,19.0,22.0,18.0,8.0,42.0,AF
91,2015-08-01,2.0,23.0,24.0,15.0,9.0,36.0,AF
92,2015-09-01,3.0,23.0,20.0,21.0,3.0,52.0,AF
93,2015-10-01,1.0,20.0,29.0,13.0,4.0,75.0,AF
94,2015-11-01,2.0,13.0,22.0,20.0,6.0,68.0,AF
95,2015-12-01,1.0,15.0,21.0,14.0,7.0,56.0,AF
96,2016-01-01,3.0,14.0,19.0,10.0,7.0,54.0,AF
97,2016-02-01,3.0,13.0,20.0,4.0,3.0,45.0,AF
98,2016-03-01,1.0,7.0,17.0,12.0,6.0,41.0,AF
99,2016-04-01,1.0,10.0,19.0,4.0,4.0,68.0,AF
100,2016-05-01,1.0,6.0,21.0,6.0,9.0,77.0,AF
101,2016-06-01,1.0,7.0,22.0,9.0,7.0,64.0,AF
102,2016-07-01,2.0,8.0,20.0,7.0,2.0,47.0,AF
103,2016-08-01,2.0,9.0,25.0,7.0,5.0,55.0,AF
104,2016-09-01,3.0,7.0,22.0,8.0,6.0,53.0,AF
105,2016-10-01,2.0,8.0,24.0,5.0,4.0,69.0,AF
106,2016-11-01,2.0,12.0,20.0,5.0,0.0,70.0,AF
107,2016-12-01,2.0,10.0,22.0,6.0,6.0,50.0,AF
108,2017-01-01,2.0,11.0,19.0,10.0,6.0,47.0,AF
109,2017-02-01,2.0,12.0,17.0,8.0,6.0,44.0,AF
110,2017-03-01,2.0,6.0,20.0,4.0,7.0,43.0,AF
111,2017-04-01,2.0,6.0,20.0,7.0,0.0,75.0,AF
112,2017-05-01,2.0,9.0,19.0,4.0,2.0,68.0,AF
113,2017-06-01,2.0,10.0,15.0,7.0,5.0,42.0,AF
114,2017-07-01,2.0,5.0,18.0,11.0,4.0,42.0,AF
115,2017-08-01,2.0,7.0,16.0,5.0,3.0,50.0,AF
116,2017-09-01,1.0,11.0,20.0,4.0,11.0,47.0,AF
117,2017-10-01,2.0,9.0,16.0,3.0,10.0,69.0,AF
118,2017-11-01,1.0,9.0,17.0,3.0,5.0,75.0,AF
119,2017-12-01,2.0,9.0,19.0,3.0,3.0,52.0,AF
120,2018-01-01,2.0,9.0,16.0,5.0,4.0,42.0,AF
121,2018-02-01,2.0,11.0,21.0,9.0,7.0,41.0,AF
122,2018-03-01,2.0,8.0,19.0,5.0,5.0,39.0,AF
123,2018-04-01,2.0,7.0,26.0,6.0,5.0,67.0,AF
124,2018-05-01,2.0,7.0,26.0,4.0,4.0,54.0,AF
125,2018-06-01,2.0,10.0,19.0,7.0,0.0,43.0,AF
126,2018-07-01,1.0,5.0,25.0,4.0,9.0,42.0,AF
127,2018-08-01,2.0,7.0,22.0,5.0,0.0,42.0,AF
128,2018-09-01,2.0,7.0,19.0,4.0,4.0,63.0,AF
129,2018-10-01,2.0,8.0,18.0,3.0,5.0,60.0,AF
130,2018-11-01,2.0,7.0,18.0,5.0,4.0,63.0,AF
131,2018-12-01,2.0,4.0,18.0,5.0,4.0,42.0,AF
132,2019-01-01,2.0,14.0,18.0,5.0,5.0,36.0,AF
133,2019-02-01,2.0,8.0,20.0,5.0,7.0,34.0,AF
134,2019-03-01,2.0,5.0,17.0,2.0,5.0,34.0,AF
135,2019-04-01,2.0,8.0,16.0,3.0,7.0,60.0,AF
136,2019-05-01,2.0,9.0,19.0,4.0,12.0,63.0,AF
137,2019-06-01,2.0,10.0,19.0,5.0,3.0,48.0,AF
138,2019-07-01,2.0,8.0,18.0,5.0,4.0,46.0,AF
139,2019-08-01,2.0,9.0,21.0,4.0,3.0,37.0,AF
140,2019-09-01,3.0,8.0,22.0,5.0,7.0,63.0,AF
141,2019-10-01,3.0,7.0,21.0,12.0,0.0,72.0,AF
142,2019-11-01,3.0,9.0,19.0,5.0,8.0,53.0,AF
143,2019-12-01,3.0,9.0,19.0,3.0,3.0,43.0,AF
144,2020-01-01,3.0,6.0,18.0,2.0,5.0,32.0,AF
145,2020-02-01,5.0,9.0,17.0,2.0,3.0,36.0,AF
146,2020-03-01,2.0,3.0,8.0,4.0,4.0,21.0,AF
147,2020-04-01,1.0,5.0,6.0,2.0,4.0,35.0,AF
148,2020-05-01,1.0,5.0,7.0,5.0,4.0,27.0,AF
149,2020-06-01,2.0,7.0,10.0,5.0,7.0,28.0,AF
150,2020-07-01,2.0,6.0,12.0,4.0,2.0,32.0,AF
151,2020-08-01,3.0,6.0,14.0,2.0,3.0,38.0,AF
152,2020-09-01,2.0,7.0,12.0,4.0,3.0,56.0,AF
153,2020-10-01,4.0,5.0,15.0,5.0,3.0,49.0,AF
154,2020-11-01,3.0,10.0,24.0,5.0,4.0,54.0,AF
155,2020-12-01,3.0,6.0,23.0,4.0,6.0,36.0,AF
156,2021-01-01,4.0,9.0,26.0,4.0,5.0,29.0,AF
157,2021-02-01,4.0,9.0,21.0,5.0,4.0,30.0,AF
158,2021-03-01,3.0,6.0,16.0,5.0,4.0,47.0,AF
159,2021-04-01,4.0,7.0,17.0,4.0,5.0,38.0,AF
160,2021-05-01,4.0,9.0,19.0,4.0,3.0,38.0,AF
161,2021-06-01,4.0,12.0,23.0,7.0,8.0,35.0,AF
162,2021-07-01,10.0,16.0,28.0,14.0,5.0,25.0,AF
163,2021-08-01,16.0,100.0,100.0,78.0,2.0,22.0,AF
