,date,passport,Immigration,Travel Visa,Refugee,Conflict,Economy,country
0,2004-01-01,100.0,0.0,100.0,0.0,0.0,0.0,AF
1,2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
2,2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
3,2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
4,2004-05-01,0.0,0.0,19.0,0.0,0.0,100.0,AF
5,2004-06-01,0.0,0.0,48.0,0.0,0.0,65.0,AF
6,2004-07-01,0.0,100.0,0.0,0.0,0.0,73.0,AF
7,2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
8,2004-09-01,0.0,0.0,6.0,0.0,0.0,0.0,AF
9,2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
10,2004-11-01,3.0,0.0,0.0,0.0,0.0,0.0,AF
11,2004-12-01,0.0,0.0,0.0,0.0,100.0,0.0,AF
12,2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
13,2005-02-01,0.0,53.0,0.0,0.0,0.0,50.0,AF
14,2005-03-01,0.0,78.0,0.0,0.0,0.0,32.0,AF
15,2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
16,2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
17,2005-06-01,0.0,0.0,4.0,0.0,42.0,75.0,AF
18,2005-07-01,0.0,0.0,5.0,0.0,0.0,62.0,AF
19,2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
20,2005-09-01,0.0,0.0,11.0,0.0,0.0,0.0,AF
21,2005-10-01,0.0,0.0,5.0,0.0,0.0,0.0,AF
22,2005-11-01,0.0,0.0,11.0,75.0,0.0,0.0,AF
23,2005-12-01,2.0,0.0,4.0,0.0,38.0,0.0,AF
24,2006-01-01,3.0,0.0,0.0,0.0,0.0,0.0,AF
25,2006-02-01,0.0,0.0,4.0,0.0,0.0,0.0,AF
26,2006-03-01,0.0,0.0,0.0,45.0,0.0,21.0,AF
27,2006-04-01,1.0,58.0,5.0,0.0,0.0,0.0,AF
28,2006-05-01,2.0,0.0,0.0,0.0,0.0,0.0,AF
29,2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,AF
30,2006-07-01,0.0,0.0,4.0,0.0,0.0,0.0,AF
31,2006-08-01,1.0,0.0,0.0,100.0,0.0,46.0,AF
32,2006-09-01,1.0,0.0,2.0,0.0,0.0,0.0,AF
33,2006-10-01,0.0,0.0,0.0,0.0,0.0,40.0,AF
34,2006-11-01,2.0,0.0,0.0,0.0,0.0,0.0,AF
35,2006-12-01,0.0,0.0,0.0,0.0,27.0,0.0,AF
36,2007-01-01,2.0,24.0,3.0,32.0,32.0,0.0,AF
37,2007-02-01,1.0,0.0,6.0,0.0,24.0,0.0,AF
38,2007-03-01,0.0,0.0,2.0,0.0,0.0,15.0,AF
39,2007-04-01,0.0,0.0,0.0,0.0,37.0,0.0,AF
40,2007-05-01,1.0,0.0,0.0,0.0,0.0,0.0,AF
41,2007-06-01,0.0,0.0,1.0,0.0,0.0,0.0,AF
42,2007-07-01,0.0,13.0,1.0,0.0,0.0,0.0,AF
43,2007-08-01,0.0,0.0,4.0,50.0,57.0,13.0,AF
44,2007-09-01,0.0,0.0,0.0,57.0,0.0,0.0,AF
45,2007-10-01,0.0,0.0,6.0,0.0,0.0,0.0,AF
46,2007-11-01,0.0,23.0,0.0,0.0,0.0,8.0,AF
47,2007-12-01,0.0,0.0,3.0,0.0,0.0,9.0,AF
48,2008-01-01,0.0,0.0,3.0,0.0,0.0,0.0,AF
49,2008-02-01,1.0,0.0,3.0,0.0,0.0,0.0,AF
50,2008-03-01,0.0,12.0,1.0,14.0,0.0,0.0,AF
51,2008-04-01,0.0,12.0,2.0,33.0,0.0,11.0,AF
52,2008-05-01,0.0,0.0,1.0,0.0,0.0,0.0,AF
53,2008-06-01,0.0,0.0,4.0,35.0,0.0,0.0,AF
54,2008-07-01,0.0,11.0,0.0,19.0,0.0,11.0,AF
55,2008-08-01,0.0,9.0,1.0,0.0,0.0,0.0,AF
56,2008-09-01,0.0,16.0,3.0,17.0,9.0,11.0,AF
57,2008-10-01,0.0,0.0,1.0,12.0,13.0,8.0,AF
